"","Overall","Service","Cleanliness","Value","Sleep Quality","Rooms","Location","Business service (e.g., internet access)","Check in / front desk","Date","Hotel Name","Hotel Prie","Zip Code"
"1","4.0",NA,NA,NA,NA,NA,NA,NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"2","4.0","5","3","4","4","4","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"3","5.0","5","5","5","5","5","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"4","5.0","5","5","5","5","5","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"5","2.0","5","4","4","1","2","4",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"6","4.0","4","5","5","3","4","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"7","5.0","4","5","4","5","5","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"8","5.0","5","5","5","5","4","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"9","5.0","5","5","5","5","5","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"10","5.0","4","5","4","5","5","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"11","5.0","3","4","4","4","5","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"12","5.0","5","5","5","5","5","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"13","5.0","5","5","5",NA,NA,"5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"14","1.0","1","3","1","1","4","4",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"15","4.0","3","5","4","5","4","5",NA,NA,Mar 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"16","5.0","5","5","5","5","5","5",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
